query,time,results
398,3582,3168
399,33780,28849
400,9711,8201
401,865,439
402,108,27
403,14081,11601
404,3172,2386
405,12545360,2528769
406,55963640,80269149
407,1469,783
408,840285,1085122
409,53241,61698
410,24099,24629
411,2062493,2498645
412,913631,1973
413,7994092,1363410
414,7202,693
415,84105,28848
416,1849403,1111408
417,9883,2938
418,1115,644
419,timeouted
420,55266539,77740410
421,9711891,891431
422,timeouted
423,9807547,26817
424,659430,78803
425,94568,38715
426,798197,24598
427,241891,343827
428,22532588,2980690
429,595,1
430,6688,6997
431,57,1
432,96596,148521
433,327,121
434,9414,10807
435,31378,40612
436,13431,13698
437,13936,14188
438,11633,15692
439,9903668,1357292
440,785690,40274
441,9831,9132
442,791,33
443,7829142,9181545
444,6551,224
445,95547,148635
446,5701,1
447,timeouted
448,133743,190623
449,399060,595733
450,timeouted
451,timeouted
452,85072,525427
453,101221,487774
454,5880146,225600
455,482,644
456,3517,6671
457,13822,55638
458,1162161,2329570
459,152349,907738
460,1829471,59715
461,72843,326978
462,44516,116833
463,177241,342902
464,4933187,11085742
465,5516,255
466,3554,6175
467,15241,48165
468,15143,84343
469,6326,26162
470,965421,376797
471,49502,19764
472,5762177,39615760
473,796920,422221
474,76,4
475,246329,1391105
476,15052,3880
477,196922,942574
478,19072,7074
479,46746,211719
480,240897,1420680
481,84,0
482,54213,15786
483,596215,2600632
484,9160,34
485,50584,15607
486,724944,3353576
487,443931,1034204
488,685750,2850357
489,407451,49930
490,969770,305396
491,4799486,21712554
492,6360,21879
493,5408,15736
494,53,0
495,3048,5633
496,3907,10840
497,257,503
498,2015,0
499,536,1298
500,50154,217404
501,1783,9807
502,6890167,41215882
503,27180,121285
504,14560,68738
505,339,1
506,1695,4619
507,46162,17813
508,61901,308706
509,693324,44
510,841790,7431
511,10018,0
512,37110,19880
513,1407604,662624
514,2448589,11835544
515,6696631,32258800
516,21784,100475
517,53489,300394
518,8365,29137
519,310815,168696
520,7641513,50752144
521,144351,752751
522,2224219,12212728
523,967991,422221
524,13512,40622
525,60,9
526,3202,12943
527,65,46
528,5346,6755
529,75,24
530,50,0
531,1218,3391
532,528722,2111929
533,3920,456
534,1551,419
535,101141,548572
536,18495,61681
537,4467602,8822393
538,329013,683508
539,5199,18635
540,18210164,95441803
541,141248,865877
542,2413,8129
543,269,390
544,599,1980
545,9478351,59424077
546,9526,36943
547,123764,642199
548,6274,17357
549,12147,48550
550,69612,402701
551,430121,2098261
552,681591,2930361
553,58726,270247
554,320561,478355
555,70712,40269
556,805920,2817261
557,14340560,80010277
558,125786,374763
559,1403,126
560,19098,32605
561,294428,1309974
562,145346,768585
563,80032,73008
564,2667,7322
565,436697,2297840
566,36563,88222
567,1250,223
568,18147,63335
569,1399901,9182237
570,2287982,11806916
571,7563,785
572,9845,10755
573,3435772,11486774
574,120854,105735
575,19830553,61859480
576,87,0
577,2705,4814
578,11721,15667
579,42348,121229
580,97599,587602
581,1211321,2359864
582,927739,4522427
583,136497,50812
584,3408116,18001583
585,1189551,6274997
586,149772,656141
587,9551,27093
588,155037,814765
589,496633,2320496
590,39830,210691
591,85062,528464
592,60644,127788
593,41980,46841
594,197,111
595,3785,13791
596,4406,15041
597,307592,813942
598,42320,160330
599,559,1612
600,59,0
601,timeouted
602,2378372,11082415
603,925880,97843
604,734796,18143
605,1873772,6271110
606,timeouted
607,1712,3876
608,1375917,9181719
609,3273491,2981406
610,28382,83067
611,2631,4536
612,66653,246071
613,60465,188361
614,108,0
615,33,0
616,3971,7641
617,178150,595427
618,7089,19800
619,15935,50104
620,2047,4890
621,46453403,240368924
622,11592342,51297273
623,62,0
624,231737,577627
625,11877,27850
626,4573673,9182055
627,5868,14027
628,105,78
629,74,29
630,timeouted
631,703,228
632,89,16
633,10430829,10133576
634,292,61
635,10022036,7510010
636,73,0
637,89,8
638,1830084,4731
639,479733,140
640,27695,22336
641,862,781
642,18471,17700
643,22435,22335
644,17627,17699
645,timeouted
646,616800,221804
647,52850447,21254228
648,2191681,842928
649,30579,47609
650,61,0
651,52946,215
652,954974,644250
653,50387936,25108709
654,65,0
655,2775369,3103136
656,59154,22291
657,36460,17474
658,43697,22291
659,34950,17474
660,3079579,21081509
